,TITRE COMMENTAIRE,DATE EXPERIENCE,COMMENTAIRE,QUI A COMMENTÉ,NOMBRE AVIS LAISSÉ PAR CETTE PERSONNE,LOCALISATION DE LA PERSONNE QUI A COMMENTÉ,PRÉSENCE D'UNE RÉPONSE (booléen),QUI A RÉPONDU,RÉPONSE AU COMMENTAIRE,NOMBRE D'ÉTOILE
6665,Site de vente en ligne très sérieux et fiable.,26 août 2022,J'adore acheter chez showroomprive car il y a tellement de choix avec des prix réduits formidables. De plus ce site est très sérieux avec un bon suivi des commandes et des livraisons facilitées par les points relais très pratiques. En cas de problème eventuel et rare le service client est super compétent. Toujours satisfait et je recommande ce site à toutes et à tous.,Thierry182,3 avis,FR,True,Showroomprive.com,"Bonjour,
Un grand merci pour votre avis !
Nous sommes heureux de vous compter parmi nos clients.
Bonne journée de la part de toute l'équipe.
Ghita",5
6666,showroomprivé propose des produits qui…,26 août 2022,showroomprivé propose des produits qui sont d'actualités et qui permettent d'éviter de se déplacer dans les magasins!,Angelique,19 avis,FR,True,Showroomprive.com,"Bonjour,
Un grand merci pour votre avis !
Nous sommes heureux de vous compter parmi nos clients.
Bonne journée de la part de toute l'équipe.
Ghita",5
6667,Pas assez de variété au niveau des…,26 août 2022,Pas assez de variété au niveau des ventes toujours la même chose au niveau des marques,Haimovici,4 avis,FR,True,Showroomprive.com,"Bonjour Haimovici,
Je vous remercie pour l'intérêt que vous portez à notre site.
Nous vous assurons que nous travaillons constamment pour améliorer de plus en plus notre service!
Ce sont vos commentaires qui nous permettent de le faire.
Par ailleurs, je vous informe avoir remonté votre observation auprès de nos services.
Si besoin, nous restons à votre disposition pour tout renseignement.
Cordialement,
Ayoub",3
6668,De la marque à bas prix super,26 août 2022,Utile,Jessica,5 avis,RE,True,Showroomprive.com,"Bonjour Jessica,
Merci d'avoir partagé votre expérience avec nous, votre message illumine notre journée !
À très bientôt sur Showroomprive.com.
Ayoub",4
6669,articles en rupture après commande,26 août 2022,Plusieurs fois des articles commandés mais au final pas reçus car plus disponibles,Sylvie Marcadet,2 avis,FR,True,Showroomprive.com,"Bonjour Sylvie,
Je vous remercie pour l'intérêt que vous portez à notre site.
Nous vous assurons que nous travaillons constamment pour améliorer de plus en plus notre service!
Ce sont vos commentaires qui nous permettent de le faire.
Par ailleurs, je vous informe avoir remonté votre observation auprès de nos services.
Si besoin, nous restons à votre disposition pour tout renseignement.
Cordialement,
Ayoub",4
6670,j aime beaucoup showroomprivé.com mais…,26 août 2022,"j aime beaucoup showroomprivé.com mais en ce moment je trouve dommage de ne trouver que les collections qu on a déjà eues c est pourquoi en ce moment je commande peu car moins de nouveauté
sinon en général je suis satisfaite et des personnes que j ai au téléphone elles sont toujours arrangeantes avec le client ce qui motive pour recommander",Rio,4 avis,FR,True,Showroomprive.com,"Bonjour Rio,
Je vous remercie pour l'intérêt que vous portez à notre site.
Nous vous assurons que nous travaillons constamment pour améliorer de plus en plus notre service!
Ce sont vos commentaires qui nous permettent de le faire.
Par ailleurs, je vous informe avoir remonté votre observation auprès de nos services.
Si besoin, nous restons à votre disposition pour tout renseignement.
Cordialement,
Ayoub",4
6671,Un site facile d accès,26 août 2022,"Un site facile d accès, du choix, la qualité et expéditions rapides et soignées. Que du plaisir.",marie noelle leblanc,5 avis,FR,True,Showroomprive.com,"Bonjour,
Un grand merci pour votre avis !
Nous sommes heureux de vous compter parmi nos clients.
Bonne journée de la part de toute l'équipe.
Ghita",5
6672,Niveau service après vente concernant…,26 août 2022,Niveau service après vente concernant mon robot aspirateur sous garantie je n es pas été contente des personnes que j ai contacté sur votre platforme. Personne en télé travail apparemment dont les enfants en bas âges crient derrière qui n es pas en possibilité de me répondre exactement de la marche à suivre qui me dit je vous envoie mon mail que j attend toujours. Je ne recommanderais plus de choses avec un sav.,Martine Rg,4 avis,FR,True,Showroomprive.com,"Bonjour Martine,
Je fais suite à votre réclamation au sujet de la demande de garantie de votre aspirateur robot.
Je vous présente mes excuses pour ce désagrément.
Je vous informe avoir pris en charge votre réclamation et vous confirme que vous serez recontactée aujourd'hui afin de faire suite à votre requête.
Ayoub",3
6673,**************,26 août 2022,Utile,Sabrina Lamri Benalia,2 avis,FR,True,Showroomprive.com,"Bonjour,
Un grand merci pour votre avis !
Nous sommes heureux de vous compter parmi nos clients.
Bonne journée de la part de toute l'équipe.
Ghita",5
6674,Dans l ensemble ça va mais il arrive…,26 août 2022,"Dans l ensemble ça va mais il arrive que les délais de livraison soient très longs.
Ça dissuade de commander",Maryvonne Le Verre,3 avis,FR,True,Showroomprive.com,"Bonjour Maryvonne,
Je vous remercie pour votre appréciation.
Nous vous assurons que nous travaillons constamment pour améliorer de plus en plus notre service!
Ce sont vos commentaires qui nous permettent de le faire.
Pour vous expliquer, les contraintes logistiques inhérentes à la nature des ventes événementielles ne nous permettent pas d’accélérer la livraison.
En effet, bien que nous mettions tout en œuvre pour réduire au minimum les délais de livraison, nous restons tributaires de la date de réception de la marchandise envoyée par notre fournisseur, ainsi que du temps nécessaire à la préparation de votre commande.
Par ailleurs, je vous informe avoir remonté cette observation auprès de nos services.
Si besoin, nous restons à votre disposition pour tout renseignement.
Cordialement,
Ayoub",4
6675,Que du bonheur,26 août 2022,Toujours très contente de mes achats,Edith,2 avis,FR,True,Showroomprive.com,"Bonjour,
Un grand merci pour votre avis !
Nous sommes heureux de vous compter parmi nos clients.
Bonne journée de la part de toute l'équipe.
Ghita",5
6676,Respect des délais,26 août 2022,"Respect des délais - Colis bien préparés et lorsqu'il y a des retours, délai de remboursement acceptable.",Game,2 avis,FR,True,Showroomprive.com,"Bonjour,
Un grand merci pour votre avis !
Nous sommes heureux de vous compter parmi nos clients.
Bonne journée de la part de toute l'équipe.
Ghita",5
6677,Super appli,26 août 2022,Toujours satisfaite des achats effectués et les délais de livraison sont toujours respectés,Cécile,1 avis,FR,True,Showroomprive.com,"Bonjour,
Un grand merci pour votre avis !
Nous sommes heureux de vous compter parmi nos clients.
Bonne journée de la part de toute l'équipe.
Ghita",5
6678,Gestion de la clientèle,26 août 2022,"En dehors des articles commandés, j'apprécie tout particulièrement le service après vente très réactif et pratique,s'il m'arrive de faire une réclamation...",Christiane,1 avis,FR,True,Showroomprive.com,"Bonjour,
Un grand merci pour votre avis !
Nous sommes heureux de vous compter parmi nos clients.
Bonne journée de la part de toute l'équipe.
Ghita",5
6679,Je suis très déçue,26 août 2022,Je suis très déçue. Je fait beaucoup de commandes. Ma commande 263424387 deux articles annulés et à la réception de mon colis l'article en miles morceaux. Je l'ai refusé avant de le récupérer. J'espère avoir le remboursement avec les frais de livraisons et avoir un geste commercial de votre part. Pour le moment je stoppé mes commandes. Déçue.,Sylvie,2 avis,FR,True,Showroomprive.com,"Bonjour Sylvie,

Je suis sincèrement désolé d'apprendre la non-réception de votre commande.

Je vous présente nos excuses pour ce désagrément.

Je vous informe avoir pris en charge votre avis et vous confirme que vous serez recontactée aujourd'hui afin d'échanger avec vous sur ce sujet.

Ayoub",1
6680,Les valises utilisées une fois n'ont…,09 août 2022,Les valises utilisées une fois n'ont pas tenu un voyage. Très mauvaise qualité. Vraiment très déçue. Ne conseille pas,Geraldine,1 avis,RE,True,Showroomprive.com,"Bonjour Geraldine,

Je fais suite à votre avis concernant la qualité de votre valise.

Je vous présente nos excuses pour tout désagrément rencontré.

En effet, la qualité de notre approvisionnement est au cœur de nos préoccupations. Nous travaillons notamment en étroite collaboration avec nos fournisseurs. Ainsi, nous surveillons systématiquement la provenance et la qualité de chaque produit vendu sur notre site.

Nous vous assurons que nous travaillons constamment pour améliorer de plus en plus notre service!

Ce sont vos commentaires qui nous permettent de le faire.

Par ailleurs, je vous informe avoir remonté votre observation auprès de nos services afin d'y remédier prochainement.

Si besoin, nous restons à votre disposition pour tout renseignement.

Cordialement,
Ayoub",1
6681,Très bonnes affaires à faire prix très…,26 août 2022,Très bonnes affaires à faire prix très attractifs très souvent ravie je commande régulièrement.,karine vidon,2 avis,FR,True,Showroomprive.com,"Bonjour Karine,
Merci infiniment pour votre appréciation, nous sommes heureux de vous compter parmi nos clients.
Ayoub",4
6682,"Site intéressant, frais de port excessifs",26 août 2022,"J'apprécie beaucoup ce site. Néanmoins, les frais de port restent élevés à mon sens et de ce fait, je commande que moins que s'il n'y avait pas de frais de port ou moins excessifs.
Sinon, les offres sont intéressantes.",Virginie,3 avis,FR,True,Showroomprive.com,"Bonjour Virginie,
Je vous remercie pour l'intérêt que vous portez à notre site.
Nous vous assurons que nous travaillons constamment pour améliorer de plus en plus notre service!
Concernant les frais de livraison, voici les principales caractéristiques à savoir :
- Les frais de livraison varient selon le poids, le volume, la fragilité et le pays de destination du colis,
- Ils varient aussi selon le mode de livraison choisi : à votre domicile ou dans un point de retrait,
- Le montant de ces frais est fixé par le transporteur (mais nous veillons à toujours les rendre les plus bas possibles).
Si besoin, nous restons à votre disposition pour tout renseignement.
Cordialement,
Ayoub",4
6683,le reproche que je peux faire vis à vis…,26 août 2022,le reproche que je peux faire vis à vis de votre site c'est que parfois les délais sont très longs entre la commande et la livraison. je dois ajouter mais pas toujours,fabrice luneau,2 avis,FR,True,Showroomprive.com,"Bonjour,
Un grand merci pour votre avis !
Nous sommes heureux de vous compter parmi nos clients.
Bonne journée de la part de toute l'équipe.
Ghita",5
6684,Bonsoir,26 août 2022,"Bonsoir
Les retours sont payants et je ne trouve pas ça normal du tout .maintenant de plus en plus de site font les retours gratuits.
J hésite vraiment à commander
Il m est arrivé aussi plusieurs fois de commander,payer et qu on me dise qq temps après que ma commande ne serait pas livrée …ou qu il manque des articles ..décevant",Nadege,1 avis,FR,True,Showroomprive.com,"Bonjour Nadege,
Je vous remercie pour l'intérêt que vous portez à notre site.
Nous vous assurons que nous travaillons constamment pour améliorer de plus en plus notre service!
Je vous informe que, dans le cadre d'un retour 'Satisfait ou remboursé', les frais de retour sont à votre charge.
Ce sont vos commentaires qui nous permettent de le faire.
Par ailleurs, je vous informe avoir remonté votre observation auprès de nos services.
Si besoin, nous restons à votre disposition pour tout renseignement.
Cordialement,
Ayoub",3
6685,Satisfais,26 août 2022,Content de se site,guy LEVEQUE,2 avis,FR,True,Showroomprive.com,"Bonjour,
Un grand merci pour votre avis !
Nous sommes heureux de vous compter parmi nos clients.
Bonne journée de la part de toute l'équipe.
Ghita",5
6686,un semaine de retard dans la livraison…,26 août 2022,"un semaine de retard dans la livraison sans explications, rien du tout",michel savary,3 avis,FR,True,Showroomprive.com,"Bonjour Michel,

Je suis sincèrement navré d'apprendre que vous ayez reçu votre commande en retard.

Je vous présente mes excuses pour ce désagrément.

Je vous informe avoir pris en charge votre avis et vous confirme que vous serez recontacté aujourd'hui afin d'échanger avec vous sur ce sujet.

Ayoub",1
6687,jamais été déçue par ce site,26 août 2022,"jamais été déçue par ce site, bon site de promotion pour tous le monde.",Floride,4 avis,MQ,True,Showroomprive.com,"Bonjour,
Un grand merci pour votre avis !
Nous sommes heureux de vous compter parmi nos clients.
Bonne journée de la part de toute l'équipe.
Ghita",5
6688,Colis fragile parfaitement emballé,26 août 2022,"Colis fragile parfaitement emballé.
Très satisfaite de la commande.",Stephanie Venner,5 avis,FR,True,Showroomprive.com,"Bonjour,
Un grand merci pour votre avis !
Nous sommes heureux de vous compter parmi nos clients.
Bonne journée de la part de toute l'équipe.
Ghita",5
6689,La livraison est trop chere,26 août 2022,Utile,Rose,1 avis,FR,True,Showroomprive.com,"Bonjour Rose,

Je fais suite à votre avis concernant les frais de livraison appliqués sur notre site.

Nous vous assurons que nous travaillons constamment pour améliorer de plus en plus notre service!

Concernant les frais de livraison, voici les principales caractéristiques à savoir :

- Les frais de livraison varient selon le poids, le volume, la fragilité et le pays de destination du colis,
- Ils varient aussi selon le mode de livraison choisi : à votre domicile ou dans un point de retrait,
- Le montant de ces frais est fixé par le transporteur (mais nous veillons à toujours les rendre les plus bas possibles).

Si besoin, nous restons à votre disposition pour tout renseignement.

Cordialement,
Ayoub",1
6690,Cliente depuis plus de 10 ans,26 août 2022,"Cliente depuis plus de 10 ans, ce site perdure en qualité, sérieux et polyvalence des ventes. Je suis une cliente satisfaite et ravie ! Seul bémol sur les frais de port...",Magali,5 avis,MQ,True,Showroomprive.com,"Bonjour,
Un grand merci pour votre avis !
Nous sommes heureux de vous compter parmi nos clients.
Bonne journée de la part de toute l'équipe.
Ghita",5
6691,Je suis satisfaite de mes achats,26 août 2022,Je suis satisfaite de mes achats. Mais le colis arrive abîmé ! Les produits sont mis dans un énorme carton alors qu'il ne nécessite qu'un emballage beaucoup plus petit.,client(e),2 avis,FR,True,Showroomprive.com,"Bonjour,
Un grand merci pour votre avis !
Nous sommes heureux de vous compter parmi nos clients.
Bonne journée de la part de toute l'équipe.
Ghita",5
6692,articles de qualité mais au niveau des…,26 août 2022,articles de qualité mais au niveau des envois mauvaise taille et annulation des ventes dommage je suis un peu déçu,Solange Martin,1 avis,FR,True,Showroomprive.com,"Bonjour Solange,
Je vous remercie pour l'intérêt que vous portez à notre site.
Nous vous assurons que nous travaillons constamment pour améliorer de plus en plus notre service!
Ce sont vos commentaires qui nous permettent de le faire.
Par ailleurs, je vous informe avoir remonté votre observation auprès de nos services.
Si besoin, nous restons à votre disposition pour tout renseignement.
Cordialement,
Ayoub",4
6693,Tapis plastique,26 août 2022,"Article en bon état, frais de transport élevé",Samuel K.,3 avis,FR,True,Showroomprive.com,"Bonjour Samuel,
Je vous remercie pour l'intérêt que vous portez à notre site.
Nous vous assurons que nous travaillons constamment pour améliorer de plus en plus notre service!
Concernant les frais de livraison, voici les principales caractéristiques à savoir :
- Les frais de livraison varient selon le poids, le volume, la fragilité et le pays de destination du colis,
- Ils varient aussi selon le mode de livraison choisi : à votre domicile ou dans un point de retrait,
- Le montant de ces frais est fixé par le transporteur (mais nous veillons à toujours les rendre les plus bas possibles).
Si besoin, nous restons à votre disposition pour tout renseignement.
Cordialement,
Ayoub",3
6694,Toujours ravie de mes achats,26 août 2022,Utile,cliente,2 avis,FR,True,Showroomprive.com,"Bonjour,
Un grand merci pour votre avis !
Nous sommes heureux de vous compter parmi nos clients.
Bonne journée de la part de toute l'équipe.
Ghita",5
6695,"articles conformes à ma commande,mais…",26 août 2022,"articles conformes à ma commande,mais délais d'envoi trop longs !",Grandmaitre Lucette,6 avis,FR,True,Showroomprive.com,"Bonjour Lucette,
Je vous remercie pour votre appréciation.
Nous vous assurons que nous travaillons constamment pour améliorer de plus en plus notre service!
Ce sont vos commentaires qui nous permettent de le faire.
Pour vous expliquer, les contraintes logistiques inhérentes à la nature des ventes événementielles ne nous permettent pas d’accélérer la livraison.
En effet, bien que nous mettions tout en œuvre pour réduire au minimum les délais de livraison, nous restons tributaires de la date de réception de la marchandise envoyée par notre fournisseur, ainsi que du temps nécessaire à la préparation de votre commande.
Par ailleurs, je vous informe avoir remonté cette observation auprès de nos services.
Si besoin, nous restons à votre disposition pour tout renseignement.
Cordialement,
Ayoub",4
6696,A ce jour je suis satisfaite des…,26 août 2022,A ce jour je suis satisfaite des articles commandés.,Nicole ingrid,1 avis,MQ,True,Showroomprive.com,"Bonjour,
Un grand merci pour votre avis !
Nous sommes heureux de vous compter parmi nos clients.
Bonne journée de la part de toute l'équipe.
Ghita",5
6697,Sérieux bon fonctionnement efficace…,26 août 2022,Sérieux bon fonctionnement efficace pour mes livraison,isabelle roux,4 avis,FR,True,Showroomprive.com,"Bonjour,
Un grand merci pour votre avis !
Nous sommes heureux de vous compter parmi nos clients.
Bonne journée de la part de toute l'équipe.
Ghita",5
6698,Pas contente du tout de leur service…,26 août 2022,"Pas contente du tout de leur service retour. Les ventes sont a bien regardées quelquefois interessant ,d'autres non. Frais de port trop cher.",Melanie,1 avis,FR,True,Showroomprive.com,"Bonjour Melanie,

Je fais suite à votre avis dans lequel vous nous faites part de vos appréciations.

Je vous présente nos excuses pour tout désagrément.

Nous vous assurons que nous travaillons constamment pour améliorer de plus en plus notre service!

Ce sont vos commentaires qui nous permettent de le faire.

Par ailleurs, je vous informe avoir remonté votre observation auprès de nos services afin d'y remédier prochainement.

Si besoin, nous restons à votre disposition pour tout renseignement.

Cordialement,
Ayoub",2
6699,Toujours efficace,26 août 2022,Utile,regis,4 avis,FR,True,Showroomprive.com,"Bonjour,
Un grand merci pour votre avis !
Nous sommes heureux de vous compter parmi nos clients.
Bonne journée de la part de toute l'équipe.
Ghita",5
6700,Très belles robes,26 août 2022,"Bonjour, je viens de recevoir ma commande de robes Cop.Copine, et j'en suis ravie. J'adore cette marque et ce n'est pas ma première livraison. Les articles sont de très belle qualité, je n'ai jamais été déçue, et j'attends avec impatience les prochaines propositions de la marque.",Nicole,2 avis,FR,True,Showroomprive.com,"Bonjour,
Un grand merci pour votre avis !
Nous sommes heureux de vous compter parmi nos clients.
Bonne journée de la part de toute l'équipe.
Ghita",5
6701,👍👍👍,26 août 2022,👍👍👍👍👍👍👍👍👍👍,Grelet,2 avis,FR,True,Showroomprive.com,"Bonjour,
Un grand merci pour votre avis !
Nous sommes heureux de vous compter parmi nos clients.
Bonne journée de la part de toute l'équipe.
Ghita",5
6702,Il me manque des articles dans ma…,26 août 2022,Il me manque des articles dans ma commande et personne ne m’averti,Hassania,1 avis,FR,True,Showroomprive.com,"Bonjour Hassania,

Je suis sincèrement navré d'apprendre que vous ayez reçu votre commande incomplète.

Je vous présente mes excuses pour ce désagrément.

Je vous informe avoir pris en charge votre avis et vous confirme que vous serez recontactée aujourd'hui afin d'échanger avec vous sur ce sujet.

Ayoub",1
6703,Produits diversifiés,26 août 2022,"Produits diversifiés, prix corrects et un service client toujours à l’écoute. Au top !",Mélanie,1 avis,FR,True,Showroomprive.com,"Bonjour,
Un grand merci pour votre avis !
Nous sommes heureux de vous compter parmi nos clients.
Bonne journée de la part de toute l'équipe.
Ghita",5
6704,Toujours très contente de showroomprive…,26 août 2022,"Toujours très contente de showroomprive !
Jamais déçue !
À bientôt... pour de nouvelles commandes !😉",Berry,4 avis,FR,True,Showroomprive.com,"Bonjour,
Un grand merci pour votre avis !
Nous sommes heureux de vous compter parmi nos clients.
Bonne journée de la part de toute l'équipe.
Ghita",5
6705,Je suis satisfait de mes achats,26 août 2022,J aime bien aller sur votre site,Donalde,1 avis,MQ,True,Showroomprive.com,"Bonjour,
Un grand merci pour votre avis !
Nous sommes heureux de vous compter parmi nos clients.
Bonne journée de la part de toute l'équipe.
Ghita",5
6706,Les ventes proposées sont de qualité,26 août 2022,"Les ventes proposées sont de qualité, elles sont conformes aux descriptifs et arrivent toujours à bon port ( livraison en Guadeloupe)
C'est un site totalement fiable",Angela,1 avis,GP,True,Showroomprive.com,"Bonjour Angela,
Un grand merci pour votre avis !
Bonne journée de la part de toute l'équipe.
Ayoub",4
6707,Magnifique 10,26 août 2022,Magnifique 10 10,Marie vanessa,1 avis,FR,True,Showroomprive.com,"Bonjour,
Un grand merci pour votre avis !
Nous sommes heureux de vous compter parmi nos clients.
Bonne journée de la part de toute l'équipe.
Ghita",5
6708,Plusieurs commandes très décevantes…,26 août 2022,"Plusieurs commandes très décevantes avec réception de colis contenant des commandes pour d’autres personnes
Très très décevant
J’ai donc supprimé l’application
Je commande uniquement sur Veepee",Karine,1 avis,FR,True,Showroomprive.com,"Bonjour Karine,

Je fais suite à votre avis au sujet des anomalies relatives à la livraison de vos commandes.

Je vous présente nos excuses pour ce désagrément.

Nous vous assurons que nous travaillons constamment pour améliorer de plus en plus notre service!

Ce sont vos commentaires qui nous permettent de le faire.

Par ailleurs, je vous informe avoir remonté cette anomalie auprès de nos services afin d'y remédier prochainement.

Si besoin, nous restons à votre disposition pour tout renseignement.

Cordialement,
Ayoub",1
6709,Aucuns problèmes de livraisons ni de…,26 août 2022,Aucuns problèmes de livraisons ni de ruptures de stock tjs satisfaisante,Sarah,4 avis,FR,True,Showroomprive.com,"Bonjour,
Un grand merci pour votre avis !
Nous sommes heureux de vous compter parmi nos clients.
Bonne journée de la part de toute l'équipe.
Ghita",5
6710,Frais d octroi de mer et de douane trop…,26 août 2022,Frais d octroi de mer et de douane trop élevé,Jean-Régis SEVERIN,2 avis,FR,True,Showroomprive.com,"Bonjour Jean-Régis,

Je vous remercie pour l'intérêt que vous portez à notre site.

Les commandes à destination des DOM-TOM/ de la Suisse ont un tarif hors taxe, vos produits peuvent être soumis à des droits de douanes et taxes supplémentaires. La responsabilité de ces frais vous incombe lors de la livraison de votre colis.

Pour plus d’informations, nous vous invitons à vous rapprocher des autorités compétentes de votre pays de livraison.

Si besoin, nous restons à votre disposition pour tout renseignement.

Cordialement,
Ayoub",3
6711,Très bon site en ligne,26 août 2022,Utile,Jimmy,1 avis,FR,True,Showroomprive.com,"Bonjour,
Un grand merci pour votre avis !
Nous sommes heureux de vous compter parmi nos clients.
Bonne journée de la part de toute l'équipe.
Ghita",5
6712,Parfait satisfaite du service clientèle…,26 août 2022,Parfait satisfaite du service clientèle SHOWROOM conseillère compétence réponse satisfaisante à ma demande,Raphaëlle Gilly,9 avis,FR,True,Showroomprive.com,"Bonjour,
Un grand merci pour votre avis !
Nous sommes heureux de vous compter parmi nos clients.
Bonne journée de la part de toute l'équipe.
Ghita",5
6713,Satisfaction totale,26 août 2022,"Je suis très satisfaites de mes commandes tant au niveau de livraison que du produit, respect du délais, article conforme à la photo.
Très satisfaites du site !",Adja adjara,1 avis,FR,True,Showroomprive.com,"Bonjour,
Un grand merci pour votre avis !
Nous sommes heureux de vous compter parmi nos clients.
Bonne journée de la part de toute l'équipe.
Ghita",5
6714,Plusieurs commandes et peu de retours ……,26 août 2022,Plusieurs commandes et peu de retours … remboursements rapides même si les frais de port sont déduits à chaque fois …. Les produits proposés restent tendance et de bonne qualité,Binou,5 avis,FR,True,Showroomprive.com,"Bonjour,
Nous vous remercions de votre confiance et fidélité.
Ayoub",4
6715,Satisfait,26 août 2022,Très Satisfait,Horta cardoso,1 avis,FR,True,Showroomprive.com,"Bonjour,
Merci infiniment pour votre appréciation, nous sommes heureux de vous compter parmi nos clients.
Ghita",5
6716,Pas toujours ravie du rapport qualité…,26 août 2022,Pas toujours ravie du rapport qualité prix,Laurie,1 avis,FR,True,Showroomprive.com,"Bonjour Laurie,
Je vous remercie pour l'intérêt que vous portez à notre site.
Nous vous assurons que nous travaillons constamment pour améliorer de plus en plus notre service!
Ce sont vos commentaires qui nous permettent de le faire.
Par ailleurs, je vous informe avoir remonté votre observation auprès de nos services.
Si besoin, nous restons à votre disposition pour tout renseignement.
Cordialement,
Ayoub",4
6717,Je suis dans l'attente de savoir où sont mes colis,26 août 2022,Je suis dans l'attente de savoir où sont passés mes deux dernières commandes qui sont indiquées livrées et retirées dans un point relais alors que le nom du pointv relais ne m'a pas été communiqué et que je n'ai pas réceptionné ces commandes,Nini,5 avis,FR,True,Showroomprive.com,"Bonjour Nini,

Je suis sincèrement désolé d'apprendre la non-réceptions de vos commandes.

Je vous présente nos excuses pour ce désagrément.

Après vérification, je vous informe votre réclamation a été prise en charge par nos services.

Un email vous a été adressé en date du 26/08/22 sur ce sujet.

Par ailleurs, je vous informe avoir remonté votre observation auprès de nos services afin d'y remédier prochainement.

Si besoin, nous restons à votre disposition pour tout renseignement.

Cordialement,
Ayoub",2
6718,Catastrophique …,26 août 2022,Article non conforme à ce que j avais commandé. On m'a envoyé un polo à la place d un chemisier regarde où est l erreur.,marie,2 avis,FR,True,Showroomprive.com,"Bonjour Marie,

Je suis sincèrement désolé d'apprendre que vous ayez reçu votre article non conforme.

Je vous présente nos excuses pour ce désagrément.

Après vérification, je vous informe que votre réclamation a été prise en charge par nos services.

Un email vous a été adressé le 26/08/22 sur ce sujet.

Par ailleurs, je vous informe avoir remonté cette anomalie auprès de nos services afin d'y remédier prochainement.

Si besoin, nous restons à votre disposition pour tout renseignement.

Cordialement,
Ayoub",1
6719,Parfait,26 août 2022,RAS livraison comme attendu et produits conformes,Irene Wasiuta,6 avis,FR,True,Showroomprive.com,"Bonjour,
Un grand merci pour votre avis !
Nous sommes heureux de vous compter parmi nos clients.
Bonne journée de la part de toute l'équipe.
Ghita",5
6720,Parfait,26 août 2022,RAS livraison comme attendu et produits conformes,Irene Wasiuta,6 avis,FR,True,Showroomprive.com,"Bonjour,
Un grand merci pour votre avis !
Nous sommes heureux de vous compter parmi nos clients.
Bonne journée de la part de toute l'équipe.
Ghita",5
6721,Parfait qualité prix et délai…,26 août 2022,Parfait qualité prix et délai d'expédition,Carla Haffner,6 avis,FR,True,Showroomprive.com,"Bonjour,
Un grand merci pour votre avis !
Nous sommes heureux de vous compter parmi nos clients.
Bonne journée de la part de toute l'équipe.
Ghita",5
6722,Top au dessus de mes Espérances,26 août 2022,Utile,Mr BROUTE GERARD,2 avis,FR,True,Showroomprive.com,"Bonjour,
Merci pour votre commentaire qui va faire plaisir à l'ensemble de nos équipes.
Nous sommes heureux de vous compter parmi nos clients.
A très bientôt,
Ghita",5
6723,Grande diversité à prix compétitifs,26 août 2022,"Très satisfait des offres proposées par Showroom. Très grande diversité. Des prix attractifs, des délais variables selon les fournisseurs, mais souvent courts au vu de mes dernières expériences.",GUICHARD Christian,4 avis,FR,True,Showroomprive.com,"Bonjour,
Merci pour votre commentaire qui va faire plaisir à l'ensemble de nos équipes.
Nous sommes heureux de vous compter parmi nos clients.
A très bientôt,
Ghita",5
6724,Très bon service,26 août 2022,"Très bon service
Rapport qualité /prix très bon",Yves,5 avis,FR,True,Showroomprive.com,"Bonjour,
Merci pour votre commentaire qui va faire plaisir à l'ensemble de nos équipes.
Nous sommes heureux de vous compter parmi nos clients.
A très bientôt,
Ghita",5
6725,Les prix sont intéressants,26 août 2022,"Les prix sont intéressants, un large choix de marques et l'envoi est rapide et fiable.",Laurie,2 avis,FR,True,Showroomprive.com,"Bonjour,
Merci pour votre commentaire qui va faire plaisir à l'ensemble de nos équipes.
Nous sommes heureux de vous compter parmi nos clients.
A très bientôt,
Ghita",5
6726,Produit conforme,26 août 2022,"Produit conforme, livraison respectée parfait pour moi",Sylvie Soris,4 avis,FR,True,Showroomprive.com,"Bonjour,
Merci pour votre commentaire qui va faire plaisir à l'ensemble de nos équipes.
Nous sommes heureux de vous compter parmi nos clients.
A très bientôt,
Ghita",5
6727,Un scandale de faire payer le transport…,10 août 2022,Un scandale de faire payer le transport pour un problème de renvoi d'article à cause d'une taille. J'ai acheté deux shorts de la même marque et de la même taille mais un des deux taillait plus petit. On m'a déduit les frais de retour lors du remboursement. Une honte ! Surtout quand on a l'abonnement.,bérard,2 avis,FR,True,Showroomprive.com,"Bonjour Bérard,

Je suis sincèrement navré d'apprendre que la taille d'un de produits reçus ne vous ait pas apporté entière satisfaction.

Je vous présente mes excuses pour ce désagrément.

Je vous informe avoir pris en charge votre avis et vous confirme que vous serez recontactée aujourd'hui afin d'échanger avec vous sur ce sujet.

Ayoub",2
6728,Commande bien arrivée dans les délais,26 août 2022,"Commande bien arrivée dans les délais
Articles confirmes a la description",Noelle,1 avis,FR,True,Showroomprive.com,"Bonjour,
Merci pour votre commentaire qui va faire plaisir à l'ensemble de nos équipes.
Nous sommes heureux de vous compter parmi nos clients.
A très bientôt,
Ghita",5
6729,Dommage que les frais de retour soient…,26 août 2022,Dommage que les frais de retour soient aussi chers ça freine les dépenses et du coup fait plus réfléchir avant d’acheter,Fabienne,1 avis,FR,True,Showroomprive.com,"Bonjour Fabienne,
Je vous remercie pour l'intérêt que vous portez à notre site.
Nous vous assurons que nous travaillons constamment pour améliorer de plus en plus notre service!
Ce sont vos commentaires qui nous permettent de le faire.
Par ailleurs, je vous informe avoir remonté votre observation auprès de nos services.
Si besoin, nous restons à votre disposition pour tout renseignement.
Cordialement,
Ayoub",4
